[INFO  2021-04-28T14:34:09,958 net.lightbody.bmp.proxy.Main] (main) Starting BrowserMob Proxy version 2.1.4 
[WARN  2021-04-28T14:34:14,331 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2021-04-28T14:34:14,332 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2021-04-28T14:34:15,001 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2021-04-28T14:34:15,001 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2021-04-28T14:34:15,149 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2021-04-28T14:34:15,150 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2021-04-28T14:34:15,338 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2021-04-28T14:34:15,338 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2021-04-28T14:34:16,691 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-0) No content type specified in response from /cm/s?pnid=140&cb=1619584456529. Content will be treated as application/octet-stream 
[WARN  2021-04-28T14:34:17,845 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) No content type specified in response from /idsync/ex/push?partner_id=2884&partner_url=https%3A%2F%2Ftr.snapchat.com%2Fcm%2Fp%3Frand%3D1619566695381%26pnid%3D140%26pcid%3D%24%7BTA_DEVICE_ID%7D. Content will be treated as application/octet-stream 
[WARN  2021-04-28T14:34:18,001 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) No content type specified in response from /idsync/ex/push/check?partner_id=2884&partner_url=https%3A%2F%2Ftr.snapchat.com%2Fcm%2Fp%3Frand%3D1619566695381%26pnid%3D140%26pcid%3D%24%7BTA_DEVICE_ID%7D. Content will be treated as application/octet-stream 
[WARN  2021-04-28T14:34:23,232 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-0) No content type specified in response from /ups/55953/sync?uid=45620ae6-3a02-4925-bbe0-cb68c9795518&_origin=1&gdpr=0&gdpr_consent=. Content will be treated as application/octet-stream 
[WARN  2021-04-28T14:34:23,350 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-0) No content type specified in response from /ups/55953/sync?uid=45620ae6-3a02-4925-bbe0-cb68c9795518&_origin=1&gdpr=0&gdpr_consent=&verify=true. Content will be treated as application/octet-stream 
